Date,INR_AM
2017-11-10,83691.4
2017-11-09,83499.1
2017-11-08,83389.4
2017-11-07,82939.5
2017-11-06,82182.8
2017-11-03,81842.1
2017-11-02,82628.6
2017-11-01,82477.0
2017-10-31,82272.7
2017-10-30,82570.6
2017-10-27,82419.3
2017-10-26,82614.1
2017-10-25,82803.6
2017-10-24,83116.0
2017-10-23,82922.0
2017-10-20,83354.9
2017-10-19,83646.9
2017-10-18,83320.5
2017-10-17,83571.7
2017-10-16,84362.6
2017-10-13,84389.5
2017-10-12,83963.0
2017-10-11,84032.0
2017-10-10,84288.4
2017-10-09,83597.0
2017-10-06,82539.4
2017-10-05,83051.5
2017-10-04,82888.7
2017-10-03,83329.2
2017-10-02,83210.8
2017-09-29,83824.9
2017-09-28,84059.4
2017-09-27,84372.6
2017-09-26,85179.3
2017-09-25,84215.8
2017-09-22,83909.5
2017-09-21,83737.8
2017-09-20,84332.3
2017-09-19,84232.2
2017-09-18,84219.8
2017-09-15,84834.4
2017-09-14,85109.0
2017-09-13,85062.8
2017-09-12,85008.8
2017-09-11,85382.1
2017-09-08,85896.1
2017-09-07,86029.7
2017-09-06,85768.2
2017-09-05,85671.5
2017-09-04,85378.4
2017-09-01,84538.6
2017-08-31,84076.6
2017-08-30,83744.0
2017-08-29,84373.8
2017-08-28,82098.5
2017-08-25,82290.0
2017-08-24,82552.7
2017-08-23,82480.7
2017-08-22,82368.6
2017-08-21,82913.7
2017-08-18,83106.1
2017-08-17,82423.1
2017-08-16,81780.6
2017-08-15,81654.9
2017-08-14,82227.5
2017-08-11,82516.2
2017-08-10,82368.6
2017-08-09,81321.8
2017-08-08,80395.6
2017-08-07,80304.4
2017-08-04,80070.2
2017-08-03,80866.7
2017-08-02,80848.1
2017-08-01,81467.9
2017-07-31,81413.5
2017-07-28,81135.7
2017-07-27,80866.8
2017-07-26,80345.2
2017-07-25,80788.4
2017-07-24,80324.2
2017-07-21,80412.9
2017-07-20,79766.1
2017-07-19,79876.5
2017-07-18,79786.4
2017-07-17,79432.8
2017-07-14,79108.3
2017-07-13,78619.0
2017-07-12,78594.3
2017-07-11,78209.6
2017-07-10,78131.2
2017-07-07,78511.5
2017-07-06,79324.5
2017-07-05,79246.3
2017-07-04,79341.8
2017-07-03,79741.4
2017-06-30,80323.9
2017-06-29,80466.9
2017-06-28,80614.6
2017-06-27,80633.5
2017-06-26,80262.6
2017-06-23,81047.9
2017-06-22,80883.0
2017-06-21,80246.9
2017-06-20,80195.2
2017-06-19,80536.9
2017-06-16,80997.2
2017-06-15,81056.5
2017-06-14,81957.2
2017-06-13,81354.8
2017-06-12,81733.5
2017-06-09,81445.5
2017-06-08,81892.2
2017-06-07,83159.8
2017-06-06,83404.9
2017-06-05,82454.4
2017-06-02,82156.5
2017-06-01,81513.3
2017-05-31,81707.9
2017-05-30,81570.4
2017-05-29,81703.3
2017-05-26,81659.0
2017-05-25,81205.3
2017-05-24,81171.5
2017-05-23,81736.6
2017-05-22,81289.0
2017-05-19,80904.2
2017-05-18,81734.0
2017-05-17,80731.4
2017-05-16,79075.2
2017-05-15,79011.4
2017-05-12,79058.6
2017-05-11,78868.7
2017-05-10,78996.5
2017-05-09,78933.0
2017-05-08,79106.9
2017-05-05,79012.7
2017-05-04,78934.1
2017-05-03,80255.5
2017-05-02,80592.4
2017-05-01,81413.7
2017-04-28,81546.7
2017-04-27,81084.4
2017-04-26,80954.0
2017-04-25,81659.0
2017-04-24,81927.1
2017-04-21,82993.4
2017-04-20,82867.2
2017-04-19,82741.7
2017-04-18,82690.5
2017-04-17,82834.1
2017-04-14,82759.6
2017-04-13,82859.8
2017-04-12,82510.9
2017-04-11,80987.5
2017-04-10,80753.2
2017-04-07,81453.0
2017-04-06,80917.8
2017-04-05,80846.2
2017-04-04,81791.3
2017-04-03,81046.3
2017-03-31,80758.4
2017-03-30,81065.9
2017-03-29,81165.1
2017-03-28,81771.5
2017-03-27,81721.9
2017-03-24,81611.5
2017-03-23,81655.1
2017-03-22,81756.6
2017-03-21,81082.7
2017-03-20,80568.1
2017-03-17,80483.5
2017-03-16,80417.9
2017-03-15,78706.0
2017-03-14,79298.8
2017-03-13,79686.7
2017-03-10,80071.2
2017-03-09,80458.8
2017-03-08,80822.9
2017-03-07,81065.4
2017-03-06,82060.1
2017-03-03,81916.7
2017-03-02,82785.6
2017-03-01,83013.8
2017-02-28,83805.0
2017-02-27,83937.0
2017-02-24,83530.7
2017-02-23,83284.8
2017-02-22,82911.2
2017-02-21,82587.4
2017-02-20,82818.7
2017-02-17,83352.2
2017-02-16,83128.0
2017-02-15,81917.3
2017-02-14,82255.9
2017-02-13,81920.1
2017-02-10,82110.6
2017-02-09,82524.2
2017-02-08,83307.6
2017-02-07,82941.1
2017-02-06,82443.7
